# AoA_deg=-5.0
panel_id,x0,y0,x1,y1,x_mid,y_mid,s,L,nx,ny,Cp_solid,Cp_porous,dCp_porous_minus_solid
0,1.0,0.0,0.9999036202410324,2.1011881046247016e-05,0.9999518101205163,1.0505940523123508e-05,4.932179306288582e-05,9.864358612577164e-05,0.2130080816349949,0.9770504373665565,0.6099765617430031,0.5152967066085642,-0.09467985513443888
1,0.9999036202410324,2.1011881046247016e-05,0.9996145181203615,8.402364073564483e-05,0.999759069180697,5.2517760890945925e-05,0.0002465882700751856,0.0002958893678988279,0.21295716076876114,0.9770615373032079,0.5349035623412918,0.1787135624173961,-0.35618999992389566
2,0.9996145181203615,8.402364073564483e-05,0.999132805092358,0.0001889636945430234,0.9993736616063598,0.00013649366763933413,0.0006410384591565236,0.000493011010263848,0.2128553959701977,0.9770837120771025,0.4835585756580286,0.2536865906303253,-0.22987198502770334
3,0.999132805092358,0.0001889636945430234,0.998458666866564,0.00033571295393598484,0.998795735979461,0.00026233832423950415,0.0012325068944016142,0.0006899258602263326,0.2127029407838399,0.9771169116241446,0.4447992864697453,0.2537332422537387,-0.1910660442160066
4,0.998458666866564,0.00033571295393598484,0.9975923633360984,0.000524105153473664,0.9980255151013312,0.0004299090537048244,0.0020207455366127794,0.0008865514241959984,0.21250002469798016,0.977161061188665,0.4133781344926182,0.2422750273213483,-0.17110310717126986
5,0.9975923633360984,0.000524105153473664,0.9965342284774632,0.0007539273059303047,0.9970632959067808,0.0006390162297019843,0.0030054239640758375,0.0010828054307301174,0.21224695216173373,0.977216061727423,0.38675190316576813,0.22820309338372557,-0.15854880978204255
6,0.9965342284774632,0.0007539273059303047,0.9952846702217886,0.0010249202826471265,0.9959094493496259,0.0008894237942887156,0.004186129625577247,0.0012786058922727023,0.21194410127043606,0.977281790445656,0.3635109286619026,0.21379368450995007,-0.14971724415195253
7,0.9952846702217886,0.0010249202826471265,0.9938441702975689,0.0013367795155540027,0.9945644202596787,0.0011808498991005647,0.005562368154520227,0.0014738711656132576,0.2115919221318885,0.9773581014595075,0.34279399700748736,0.1997469110928457,-0.14304708591464166
8,0.9938441702975689,0.0013367795155540027,0.9922132840449458,0.0016891558165611773,0.9930287271712573,0.00151296766605759,0.00713356374273681,0.0016685200108199107,0.21119093491364058,0.9774448265811746,0.3240361606655068,0.18627680631294008,-0.1377593543525667
9,0.9922132840449458,0.0016891558165611773,0.9903926402016152,0.0020816563093059956,0.9913029621232805,0.0018854060629335864,0.00889905957234256,0.0018624716483915883,0.21074172757678097,0.9775417762213305,0.3068463711238161,0.17342705767956368,-0.1334193134442524
